"ID","时间","日降水量","flag","降水历时","天气状况","时段长","时段降水量","测站编码","时间戳"
"174","2018-06-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"175","2018-06-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"176","2018-06-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"177","2018-06-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"178","2018-06-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"179","2018-06-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"180","2018-06-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"181","2018-06-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"182","2018-06-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"183","2018-06-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"184","2018-06-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"185","2018-06-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"186","2018-05-31 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"187","2018-05-30 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"188","2018-05-29 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"189","2018-05-28 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"190","2018-05-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"191","2018-05-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"192","2018-05-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"193","2018-05-24 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"194","2018-05-23 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"195","2018-05-22 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"196","2018-05-21 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"197","2018-05-20 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"198","2018-05-19 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"199","2018-05-18 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"200","2018-05-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"201","2018-05-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"202","2018-05-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"203","2018-05-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"204","2018-05-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"205","2018-05-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"206","2018-05-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"207","2018-05-10 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"208","2018-05-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"209","2018-05-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"210","2018-05-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"211","2018-05-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"212","2018-05-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"213","2018-05-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"214","2018-05-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"215","2018-05-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"216","2018-05-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"217","2018-04-30 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"218","2018-04-29 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"219","2018-04-28 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"220","2018-04-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"221","2018-04-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"222","2018-04-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"223","2018-04-24 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"224","2018-04-23 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"225","2018-04-22 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"226","2018-04-21 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"227","2018-04-20 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"228","2018-04-19 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"229","2018-04-18 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"230","2018-04-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"231","2018-04-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"232","2018-04-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"233","2018-04-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"234","2018-04-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
